STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,SOURCE SYSTEM,EQPT_ID
CO,PALMER LAKE,PLLKCO01,8613845,PLLKCO01.001.0002.200.00Z.003,BAY,RACK,,,PLLKCO01.001.0002.200.00Z.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.00Z.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.210.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587570,PLLKCO01.001.0002.210.001.001,BAY,RACK,,,PLLKCO01.001.0002.210.001.001.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8587562,PLLKCO01.001.0002.210.001.002,BAY,RACK,,,PLLKCO01.001.0002.210.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.210.001.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644608,PLLKCO01.001.0002.210.001.003,BAY,RACK,,,PLLKCO01.001.0002.210.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.210.001.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.210.001.004,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587566,PLLKCO01.001.0002.210.001.004,BAY,RACK,,,PLLKCO01.001.0002.210.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.210.001.005,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644606,PLLKCO01.001.0002.210.001.005,BAY,RACK,,,PLLKCO01.001.0002.210.001.005.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8587584,PLLKCO01.001.0002.220.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00002.DCM2,IN SERVICE,21,1,12,7/22/2013 19:17,6/26/2025 22:47,23,84,15,GRANITE,2408375
CO,PALMER LAKE,PLLKCO01,8587584,PLLKCO01.001.0002.220.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00002.DCM1,IN SERVICE,22,2,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2704862
CO,PALMER LAKE,PLLKCO01,8587584,PLLKCO01.001.0002.220.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00002.BAFFLE 1,IN SERVICE,20,4,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2478389
CO,PALMER LAKE,PLLKCO01,8587584,PLLKCO01.001.0002.220.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00002.BAFFLE 2,IN SERVICE,20,4,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2112595
CO,PALMER LAKE,PLLKCO01,8587584,PLLKCO01.001.0002.220.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00002.ROADM 2,IN SERVICE,20,18,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2206601
CO,PALMER LAKE,PLLKCO01,8587584,PLLKCO01.001.0002.220.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00002.ROADM 1,IN SERVICE,20,18,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2150286
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.220.001.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587581,PLLKCO01.001.0002.220.001.002,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.002.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00003.BAFFLE 2,IN SERVICE,20,4,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2312955
CO,PALMER LAKE,PLLKCO01,8587581,PLLKCO01.001.0002.220.001.002,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.002.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00003.BAFFLE 1,IN SERVICE,20,4,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2731487
CO,PALMER LAKE,PLLKCO01,8587581,PLLKCO01.001.0002.220.001.002,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.002.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00003.SHELF-2,IN SERVICE,20,18,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2611082
CO,PALMER LAKE,PLLKCO01,8587581,PLLKCO01.001.0002.220.001.002,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.002.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00003.SHELF-1,IN SERVICE,20,18,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2669999
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.220.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613839,PLLKCO01.001.0002.220.001.003,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.003.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01.CIENA.6500.00001.SHELF-1,IN SERVICE,17.3,12.57,11.1,09/05/2021 20:33,11/14/2022 21:20,19,84,12,GRANITE,2604719
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.220.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613839,PLLKCO01.001.0002.220.001.003,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.220.001.003.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01.CIENA.6500.00002.SHELF-1,UNDER CONSTRUCTION,,,,03/12/2025 13:15,3/13/2025 20:41,19,84,12,GRANITE,2724275
CO,PALMER LAKE,PLLKCO01,8587588,PLLKCO01.001.0002.220.001.004,BAY,RACK,,,PLLKCO01.001.0002.220.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.220.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.220.001.005,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613837,PLLKCO01.001.0002.220.001.005,BAY,RACK,,,PLLKCO01.001.0002.220.001.005.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8613833,PLLKCO01.001.0002.230.001.001,BAY,RACK,,,PLLKCO01.001.0002.230.001.001.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.230.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613835,PLLKCO01.001.0002.230.001.002,BAY,RACK,,,PLLKCO01.001.0002.230.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.230.001.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.230.001.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587578,PLLKCO01.001.0002.230.001.003,BAY,RACK,,,PLLKCO01.001.0002.230.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.230.001.004,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587574,PLLKCO01.001.0002.230.001.004,BAY,RACK,,,PLLKCO01.001.0002.230.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8587595,PLLKCO01.001.0002.240.001.001,BAY,RACK,,,PLLKCO01.001.0002.240.001.001.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.240.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613841,PLLKCO01.001.0002.240.001.002,BAY,RACK,,,PLLKCO01.001.0002.240.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.240.001.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587591,PLLKCO01.001.0002.240.001.003,BAY,RACK,,,PLLKCO01.001.0002.240.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.240.001.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.240.001.004,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613843,PLLKCO01.001.0002.240.001.004,BAY,RACK,,,PLLKCO01.001.0002.240.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.310.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644626,PLLKCO01.001.0003.310.001.001,BAY,RACK,,,PLLKCO01.001.0003.310.001.001.FR,IN SERVICE,,06/01/2024 14:14,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.310.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587607,PLLKCO01.001.0003.310.001.002,BAY,RACK,,,PLLKCO01.001.0003.310.001.002.FR,IN SERVICE,,06/01/2024 14:14,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,8587611,PLLKCO01.001.0003.310.001.003,BAY,RACK,,,PLLKCO01.001.0003.310.001.003.FR,IN SERVICE,,06/01/2024 14:15,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.310.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.310.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587603,PLLKCO01.001.0003.310.001.004,BAY,RACK,,,PLLKCO01.001.0003.310.001.004.FR,IN SERVICE,,06/01/2024 14:15,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,8644618,PLLKCO01.001.0003.320.001.001,BAY,RACK,,,PLLKCO01.001.0003.320.001.001.FR,IN SERVICE,,06/01/2024 14:16,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.320.001.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.320.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644620,PLLKCO01.001.0003.320.001.002,BAY,RACK,,,PLLKCO01.001.0003.320.001.002.FR,IN SERVICE,,06/01/2024 14:16,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,8644624,PLLKCO01.001.0003.320.001.003,BAY,RACK,,,PLLKCO01.001.0003.320.001.003.FR,IN SERVICE,,06/01/2024 14:16,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.320.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.320.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644622,PLLKCO01.001.0003.320.001.004,BAY,RACK,,,PLLKCO01.001.0003.320.001.004.FR,IN SERVICE,,06/01/2024 14:17,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,8603820,PLLKCO01.001.0003.330.001.001,BAY,RACK,,,PLLKCO01.001.0003.330.001.001.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.330.001.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8603812,PLLKCO01.001.0003.330.001.002,BAY,RACK,,,PLLKCO01.001.0003.330.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.330.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.330.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8603816,PLLKCO01.001.0003.330.001.003,BAY,RACK,,,PLLKCO01.001.0003.330.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.330.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8603824,PLLKCO01.001.0003.330.001.004,BAY,RACK,,,PLLKCO01.001.0003.330.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8613848,PLLKCO01.001.0003.340.001.001,BAY,RACK,,,PLLKCO01.001.0003.340.001.001.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.340.001.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613850,PLLKCO01.001.0003.340.001.002,BAY,RACK,,,PLLKCO01.001.0003.340.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
