STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,EQPT_ID,SOURCE SYSTEM
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.0000..001.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.0000..001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.0000..002.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,434375269,CSRKCOCF.001.0001..001.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.001.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPOCP.001.0001..001.001.8,IN SERVICE,19,6,18,6/26/2019 7:05:17 PM,7/26/2023 5:08:17 PM,24,84,23,21096143,GRANITE
CO,CASTLE ROCK,CSRKCOCF,434375269,CSRKCOCF.001.0001..001.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.001.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPOCP.001.0001..001.001.41,IN SERVICE,19,6,18,6/26/2019 7:05:24 PM,7/26/2023 5:08:17 PM,24,84,23,21096144,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077722,CSRKCOCF.001.0001..001.002,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.002.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..001.002.2,IN SERVICE,19,7,10,06/09/2019 21:44,7/26/2023 5:08:17 PM,23,84,4,20952415,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077723,CSRKCOCF.001.0001..001.003,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.003.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..001.003.1,IN SERVICE,19,7,10,11/13/2019 10:21:11 PM,7/26/2023 5:08:17 PM,23,84,4,21587767,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077723,CSRKCOCF.001.0001..001.003,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.003.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..001.003.11,IN SERVICE,19,7,10,06/09/2019 21:44,7/26/2023 5:08:17 PM,23,84,4,20952416,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077724,CSRKCOCF.001.0001..001.004,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.004.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..001.004.1,IN SERVICE,19,7,10,06/09/2019 21:44,7/26/2023 5:08:17 PM,23,84,4,20952418,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077725,CSRKCOCF.001.0001..001.005,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..001.005.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..001.005.2,IN SERVICE,19,7,10,06/09/2019 21:44,7/26/2023 5:08:17 PM,23,84,4,20952417,GRANITE
CO,CASTLE ROCK,CSRKCOCF,438033227,CSRKCOCF.001.0001..002.001,BAY,RACK,,,CSRKCOCF.001.0001..002.001.FR,,,7/26/2023 5:08:16 PM,,,,,,,,23,84,24,,
CO,CASTLE ROCK,CSRKCOCF,436016115,CSRKCOCF.001.0001..002.002,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..002.002.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.CIENA.6500.00001.SHELF-1,IN SERVICE,,,,05/08/2023 15:11,08/11/2023 20:23,23,84,15,436253417,GRANITE
CO,CASTLE ROCK,CSRKCOCF,462348775,CSRKCOCF.001.0001..005.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..005.001.FR,IN SERVICE,,7/30/2025 2:59:14 PM,CSRKCOCF.OSPOSX.001.0001..005.001.19,IN SERVICE,,,,7/30/2025 2:59:37 PM,7/30/2025 2:59:37 PM,24,84,30,462348663,GRANITE
CO,CASTLE ROCK,CSRKCOCF,462348775,CSRKCOCF.001.0001..005.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..005.001.FR,IN SERVICE,,7/30/2025 2:59:14 PM,CSRKCOCF.OSPOSX.001.0001..005.001.25,IN SERVICE,,,,7/30/2025 2:59:59 PM,7/30/2025 2:59:59 PM,24,84,30,462348662,GRANITE
CO,CASTLE ROCK,CSRKCOCF,462348774,CSRKCOCF.001.0001..005.002,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..005.002.FR,IN SERVICE,,7/30/2025 2:59:13 PM,CSRKCOCF.OSPOSX.001.0001..005.002.19,IN SERVICE,,,,7/30/2025 3:00:21 PM,7/30/2025 3:00:21 PM,24,84,30,462348665,GRANITE
CO,CASTLE ROCK,CSRKCOCF,462348774,CSRKCOCF.001.0001..005.002,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..005.002.FR,IN SERVICE,,7/30/2025 2:59:13 PM,CSRKCOCF.OSPOSX.001.0001..005.002.25,IN SERVICE,,,,7/30/2025 3:00:43 PM,7/30/2025 3:00:43 PM,24,84,30,462348664,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077721,CSRKCOCF.001.0001..WMT.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..WMT.001.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..WMT.001.78,IN SERVICE,10,15,12,08/12/2019 21:26,7/26/2023 5:08:17 PM,23,84,4,21296776,GRANITE
CO,CASTLE ROCK,CSRKCOCF,22077721,CSRKCOCF.001.0001..WMT.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0001..WMT.001.FR,,,7/26/2023 5:08:16 PM,CSRKCOCF.OSPFDP.001.0001..WMT.001.79,IN SERVICE,10,15,12,08/12/2019 21:26,7/26/2023 5:08:17 PM,23,84,4,21296780,GRANITE
CO,CASTLE ROCK,CSRKCOCF,21603449,CSRKCOCF.001.0002..R01.001,BAY,RACK,CHASSIS,,CSRKCOCF.001.0002..R01.001.FR,,,7/26/2023 5:11:08 PM,CSRKCOCF.TBDOSX.001.0002..R01.001.1,IN SERVICE,17,7,12,11/17/2012 1:23:46 PM,7/26/2023 5:11:08 PM,23,84,24,8300393,GRANITE
