id,name,type,building,location,status,owner,definition,proInventoryId
"2302096","CISCO 2511","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2302096"
"2733778","CISCO 2811","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2733778"
"2352448","CISCO 7204","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2352448"
"2333047","CANOGA CP9101","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2333047"
"2419907","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..005.001","RETAIN","Lumen","","2419907"
"2199793","INFINERA DTN-X","EQUIPMENT","H101","PLLKCO01.001.H101..005.002","RETAIN","Lumen","","2199793"
"2475804","ADVA FSP 3000R7","EQUIPMENT","H101","PLLKCO01.001.H101..005.003","RETAIN","Lumen","","2475804"
"2633461","ADVA FSP 3000R7","EQUIPMENT","H101","PLLKCO01.001.H101..005.003","RETAIN","Lumen","","2633461"
"2207134","ADVA FSP 3000R7","EQUIPMENT","H101","PLLKCO01.001.H101..005.003","RETAIN","Lumen","","2207134"
"2604002","ADVA FSP 3000R7","EQUIPMENT","H101","PLLKCO01.001.H101..005.003","RETAIN","Lumen","","2604002"
"2221728","ADVA FSP 3000R7","EQUIPMENT","H101","PLLKCO01.001.H101..005.003","RETAIN","Lumen","","2221728"
"2694808","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..006.001","RETAIN","Lumen","","2694808"
"2539961","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..006.001","RETAIN","Lumen","","2539961"
"2237133","Generic OSP OCP Frame","EQUIPMENT","H101","PLLKCO01.001.H101..006.001","RETAIN","Lumen","","2237133"
"2799496","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..006.002","RETAIN","Lumen","","2799496"
"2583312","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..006.002","RETAIN","Lumen","","2583312"
"2472752","Generic OSP OCP Frame","EQUIPMENT","H101","PLLKCO01.001.H101..006.002","RETAIN","Lumen","","2472752"
"2434994","Unknown Unidentified Device","EQUIPMENT","H101","PLLKCO01.001.H101..00Z.001","RETAIN","Lumen","","2434994"
"2783199","Unknown Unidentified Device","EQUIPMENT","H101","PLLKCO01.001.H101..00Z.002","RETAIN","Lumen","","2783199"
